clg_name,location,fee,ratings,courses,clg_type,entrance_exam
IIT Madras - Indian Institute of Technology Campus 1,Indore,3.28 L,4.6,21,Govt,VITEEE
BITS Pilani - Birla Institute of Technology Campus 2,Coimbatore,17.26 L,4.7,31,Pvt,UPTAC
IIIT Hyderabad Campus 3,Chennai,4.8 L,3.1,10,Pvt,"JEE Main, JEE Advanced"
VIT Vellore Campus 4,Hyderabad,19.83 L,3.9,21,Pvt,"JEE Main, JEE Advanced"
IIT Bombay - Indian Institute of Technology Campus 5,Mumbai,13.05 L,3.5,33,Govt,BITSAT
VIT Vellore Campus 6,Kolkata,8.4 L,3.1,30,Pvt,BITSAT
NIT Surathkal Campus 7,Hyderabad,18.31 L,3.9,13,Govt,MHT CET
IIT Delhi - Indian Institute of Technology Campus 8,Chennai,17.81 L,3.7,20,Govt,MHT CET
NIT Trichy Campus 9,Pune,12.1 L,3.1,26,Govt,JEE Main
IIIT Hyderabad Campus 10,Bengaluru,17.07 L,4.5,13,Pvt,VITEEE
NIT Trichy Campus 11,Pune,7.36 L,3.2,21,Govt,JEE Main
NIT Surathkal Campus 12,Hyderabad,9.55 L,4.2,32,Govt,"JEE Main, JEE Advanced"
VIT Vellore Campus 13,Kolkata,1.27 L,3.5,34,Pvt,UPTAC
VIT Vellore Campus 14,Indore,8.96 L,3.3,12,Pvt,VITEEE
VIT Vellore Campus 15,Hyderabad,6.44 L,4.7,7,Pvt,UPTAC
IIT Delhi - Indian Institute of Technology Campus 16,Kolkata,10.89 L,3.5,40,Govt,JEE Main
IIIT Hyderabad Campus 17,Nagpur,4.09 L,3.8,34,Pvt,KCET
IIT Madras - Indian Institute of Technology Campus 18,Hyderabad,14.53 L,3.1,10,Govt,JEE Main
NIT Surathkal Campus 19,Delhi,4.93 L,4.4,19,Govt,BITSAT
VIT Vellore Campus 20,Pune,3.71 L,4.1,30,Pvt,"JEE Main, JEE Advanced"
VIT Vellore Campus 21,Hyderabad,3.63 L,3,21,Pvt,BITSAT
IIIT Hyderabad Campus 22,Kolkata,19.1 L,3.3,17,Pvt,JEE Main
IIIT Hyderabad Campus 23,Chennai,11.05 L,4.5,10,Pvt,VITEEE
BITS Pilani - Birla Institute of Technology Campus 24,Kolkata,16.33 L,3.9,12,Pvt,MHT CET
BITS Pilani - Birla Institute of Technology Campus 25,Kolkata,14.46 L,4.7,17,Pvt,"JEE Main, JEE Advanced"
NIT Trichy Campus 26,Kolkata,11.69 L,4.4,16,Govt,KCET
IIT Bombay - Indian Institute of Technology Campus 27,Nagpur,16.56 L,4,16,Govt,UPTAC
IIT Bombay - Indian Institute of Technology Campus 28,Nagpur,20.61 L,4.4,19,Govt,BITSAT
NIT Surathkal Campus 29,Hyderabad,17.12 L,3.6,22,Govt,VITEEE
NIT Trichy Campus 30,Pune,11.96 L,3.7,32,Govt,BITSAT
IIIT Hyderabad Campus 31,Indore,9.52 L,4.4,38,Pvt,"JEE Main, JEE Advanced"
NIT Trichy Campus 32,Indore,9.88 L,3.8,35,Govt,JEE Main
NIT Trichy Campus 33,Chennai,12.7 L,4.8,7,Govt,MHT CET
BITS Pilani - Birla Institute of Technology Campus 34,Pune,21.33 L,3.2,27,Pvt,MHT CET
NIT Trichy Campus 35,Indore,16.73 L,3.3,9,Govt,"JEE Main, JEE Advanced"
NIT Surathkal Campus 36,Coimbatore,4.94 L,4.6,21,Govt,KCET
IIT Delhi - Indian Institute of Technology Campus 37,Mumbai,18.41 L,3.5,14,Govt,MHT CET
BITS Pilani - Birla Institute of Technology Campus 38,Pune,15.9 L,4.2,35,Pvt,KCET
IIIT Hyderabad Campus 39,Kolkata,17.81 L,3.2,18,Pvt,BITSAT
NIT Trichy Campus 40,Nagpur,7.39 L,4,31,Govt,"JEE Main, JEE Advanced"
NIT Trichy Campus 41,Bengaluru,20.78 L,4,30,Govt,VITEEE
IIT Madras - Indian Institute of Technology Campus 42,Mumbai,20.41 L,4.3,22,Govt,UPTAC
NIT Surathkal Campus 43,Mumbai,21.02 L,3.9,19,Govt,JEE Main
IIT Delhi - Indian Institute of Technology Campus 44,Pune,2.8 L,4.6,6,Govt,"JEE Main, JEE Advanced"
NIT Trichy Campus 45,Pune,14.31 L,4.7,40,Govt,JEE Main
VIT Vellore Campus 46,Nagpur,20.04 L,3.4,28,Pvt,UPTAC
VIT Vellore Campus 47,Nagpur,5.2 L,3.6,33,Pvt,"JEE Main, JEE Advanced"
NIT Surathkal Campus 48,Delhi,13.64 L,3.6,26,Govt,UPTAC
NIT Surathkal Campus 49,Delhi,12.09 L,3.4,8,Govt,BITSAT
VIT Vellore Campus 50,Bengaluru,3.68 L,3.8,30,Pvt,VITEEE
NIT Trichy Campus 51,Delhi,12.22 L,3.7,29,Govt,"JEE Main, JEE Advanced"
IIT Delhi - Indian Institute of Technology Campus 52,Pune,20.74 L,3.3,15,Govt,UPTAC
BITS Pilani - Birla Institute of Technology Campus 53,Kolkata,18.25 L,4.5,33,Pvt,UPTAC
IIT Bombay - Indian Institute of Technology Campus 54,Hyderabad,9.04 L,4.1,17,Govt,JEE Main
BITS Pilani - Birla Institute of Technology Campus 55,Kolkata,5.44 L,3.9,37,Pvt,JEE Main
IIT Bombay - Indian Institute of Technology Campus 56,Nagpur,10.6 L,4.1,8,Govt,JEE Main
VIT Vellore Campus 57,Bengaluru,20.78 L,3.1,32,Pvt,KCET
IIT Madras - Indian Institute of Technology Campus 58,Coimbatore,5.63 L,3.5,8,Govt,JEE Main
BITS Pilani - Birla Institute of Technology Campus 59,Kolkata,20.05 L,4.4,40,Pvt,MHT CET
VIT Vellore Campus 60,Delhi,4.5 L,3.6,22,Pvt,BITSAT
NIT Trichy Campus 61,Coimbatore,20.38 L,3.2,27,Govt,MHT CET
VIT Vellore Campus 62,Chennai,2.18 L,3.4,34,Pvt,"JEE Main, JEE Advanced"
BITS Pilani - Birla Institute of Technology Campus 63,Hyderabad,18.52 L,3.8,17,Pvt,JEE Main
IIIT Hyderabad Campus 64,Chennai,11.32 L,4.4,31,Pvt,BITSAT
IIT Madras - Indian Institute of Technology Campus 65,Bengaluru,10.51 L,4.3,18,Govt,UPTAC
IIT Delhi - Indian Institute of Technology Campus 66,Kolkata,18.81 L,4.5,17,Govt,MHT CET
NIT Trichy Campus 67,Chennai,15.33 L,4,14,Govt,BITSAT
IIIT Hyderabad Campus 68,Pune,14.49 L,4.5,12,Pvt,BITSAT
NIT Surathkal Campus 69,Hyderabad,21.73 L,4.3,18,Govt,VITEEE
IIT Delhi - Indian Institute of Technology Campus 70,Delhi,2.95 L,4.7,14,Govt,BITSAT
NIT Trichy Campus 71,Indore,16.28 L,4.7,30,Govt,BITSAT
IIT Bombay - Indian Institute of Technology Campus 72,Coimbatore,4.99 L,4.8,11,Govt,JEE Main
IIT Madras - Indian Institute of Technology Campus 73,Chennai,21.94 L,4.7,8,Govt,MHT CET
IIT Bombay - Indian Institute of Technology Campus 74,Kolkata,4.73 L,3.7,32,Govt,UPTAC
IIT Delhi - Indian Institute of Technology Campus 75,Coimbatore,9.97 L,3.7,22,Govt,"JEE Main, JEE Advanced"
NIT Trichy Campus 76,Pune,12.69 L,3.2,5,Govt,VITEEE
NIT Trichy Campus 77,Nagpur,4.19 L,4.6,29,Govt,BITSAT
VIT Vellore Campus 78,Pune,21.56 L,3,39,Pvt,BITSAT
NIT Surathkal Campus 79,Indore,14.62 L,4.5,38,Govt,BITSAT
IIIT Hyderabad Campus 80,Kolkata,14.54 L,4.2,24,Pvt,JEE Main
NIT Surathkal Campus 81,Bengaluru,13.08 L,4.3,36,Govt,MHT CET
IIT Madras - Indian Institute of Technology Campus 82,Delhi,8.04 L,3.8,36,Govt,KCET
BITS Pilani - Birla Institute of Technology Campus 83,Hyderabad,20.4 L,4.7,22,Pvt,VITEEE
NIT Surathkal Campus 84,Bengaluru,10.79 L,4.2,25,Govt,MHT CET
IIT Bombay - Indian Institute of Technology Campus 85,Delhi,14.76 L,4.5,31,Govt,"JEE Main, JEE Advanced"
IIIT Hyderabad Campus 86,Bengaluru,7.41 L,3.1,25,Pvt,MHT CET
NIT Surathkal Campus 87,Chennai,1.92 L,3.3,23,Govt,JEE Main
NIT Surathkal Campus 88,Delhi,16.25 L,3.7,10,Govt,BITSAT
BITS Pilani - Birla Institute of Technology Campus 89,Bengaluru,17.06 L,4.5,25,Pvt,VITEEE
VIT Vellore Campus 90,Coimbatore,13.02 L,3.5,13,Pvt,JEE Main
IIT Delhi - Indian Institute of Technology Campus 91,Pune,21.22 L,4.5,33,Govt,MHT CET
NIT Trichy Campus 92,Bengaluru,17.4 L,4.2,39,Govt,UPTAC
VIT Vellore Campus 93,Coimbatore,16.58 L,3.2,7,Pvt,VITEEE
NIT Surathkal Campus 94,Bengaluru,1.54 L,3.8,13,Govt,JEE Main
IIT Bombay - Indian Institute of Technology Campus 95,Mumbai,8.31 L,4.3,37,Govt,JEE Main
IIIT Hyderabad Campus 96,Mumbai,9.53 L,3.6,15,Pvt,"JEE Main, JEE Advanced"
IIT Delhi - Indian Institute of Technology Campus 97,Mumbai,13.94 L,4.2,38,Govt,BITSAT
NIT Trichy Campus 98,Mumbai,9.04 L,3.1,11,Govt,JEE Main
BITS Pilani - Birla Institute of Technology Campus 99,Bengaluru,14.94 L,3.1,37,Pvt,VITEEE
BITS Pilani - Birla Institute of Technology Campus 100,Coimbatore,12.04 L,4.4,11,Pvt,"JEE Main, JEE Advanced"
IIT Delhi - Indian Institute of Technology Campus 101,Chennai,21.88 L,4.4,35,Govt,BITSAT
VIT Vellore Campus 102,Coimbatore,13.63 L,4.6,25,Pvt,JEE Main
IIT Madras - Indian Institute of Technology Campus 103,Coimbatore,15.44 L,4.4,29,Govt,VITEEE
NIT Trichy Campus 104,Bengaluru,15.04 L,4.7,16,Govt,BITSAT
VIT Vellore Campus 105,Bengaluru,9.05 L,4.7,14,Pvt,VITEEE
IIT Madras - Indian Institute of Technology Campus 106,Hyderabad,3.97 L,4.5,31,Govt,VITEEE
IIT Madras - Indian Institute of Technology Campus 107,Delhi,21.47 L,3.6,9,Govt,VITEEE
NIT Trichy Campus 108,Delhi,6.55 L,3.3,25,Govt,VITEEE
NIT Surathkal Campus 109,Chennai,10.36 L,4.3,40,Govt,JEE Main
VIT Vellore Campus 110,Nagpur,2.87 L,4.4,31,Pvt,VITEEE
IIT Delhi - Indian Institute of Technology Campus 111,Hyderabad,2.15 L,4.7,35,Govt,"JEE Main, JEE Advanced"
IIT Madras - Indian Institute of Technology Campus 112,Bengaluru,2.88 L,3.7,18,Govt,KCET
IIT Bombay - Indian Institute of Technology Campus 113,Hyderabad,4.03 L,4.8,32,Govt,KCET
IIT Delhi - Indian Institute of Technology Campus 114,Hyderabad,12.93 L,3.1,13,Govt,UPTAC
IIT Bombay - Indian Institute of Technology Campus 115,Hyderabad,7.48 L,3.5,11,Govt,MHT CET
BITS Pilani - Birla Institute of Technology Campus 116,Coimbatore,13.71 L,4.7,7,Pvt,MHT CET
IIT Bombay - Indian Institute of Technology Campus 117,Coimbatore,17.06 L,4.6,35,Govt,BITSAT
IIT Bombay - Indian Institute of Technology Campus 118,Delhi,17.77 L,3.9,20,Govt,MHT CET
NIT Surathkal Campus 119,Nagpur,10.08 L,4.4,21,Govt,BITSAT
IIT Madras - Indian Institute of Technology Campus 120,Nagpur,15.24 L,3.6,15,Govt,UPTAC
IIT Madras - Indian Institute of Technology Campus 121,Chennai,21.89 L,3.8,37,Govt,"JEE Main, JEE Advanced"
IIIT Hyderabad Campus 122,Bengaluru,20.41 L,4.7,37,Pvt,BITSAT
VIT Vellore Campus 123,Delhi,16.93 L,4,15,Pvt,KCET
BITS Pilani - Birla Institute of Technology Campus 124,Delhi,8.98 L,3.6,18,Pvt,MHT CET
NIT Surathkal Campus 125,Hyderabad,20.09 L,3.1,22,Govt,UPTAC
IIT Madras - Indian Institute of Technology Campus 126,Bengaluru,5.49 L,3.8,37,Govt,BITSAT
VIT Vellore Campus 127,Mumbai,11.32 L,3.9,17,Pvt,"JEE Main, JEE Advanced"
IIT Madras - Indian Institute of Technology Campus 128,Hyderabad,10.26 L,4.7,5,Govt,VITEEE
NIT Surathkal Campus 129,Chennai,15.16 L,3.3,26,Govt,"JEE Main, JEE Advanced"
BITS Pilani - Birla Institute of Technology Campus 130,Kolkata,0.95 L,3.3,5,Pvt,VITEEE
IIT Delhi - Indian Institute of Technology Campus 131,Coimbatore,19.15 L,4.2,11,Govt,MHT CET
NIT Surathkal Campus 132,Indore,14.81 L,4.7,19,Govt,JEE Main
BITS Pilani - Birla Institute of Technology Campus 133,Hyderabad,4.28 L,4.1,35,Pvt,UPTAC
VIT Vellore Campus 134,Bengaluru,21.09 L,4.7,23,Pvt,"JEE Main, JEE Advanced"
BITS Pilani - Birla Institute of Technology Campus 135,Coimbatore,18.59 L,3.5,29,Pvt,BITSAT
NIT Surathkal Campus 136,Bengaluru,9.39 L,4.8,5,Govt,MHT CET
IIIT Hyderabad Campus 137,Mumbai,21.79 L,3.8,25,Pvt,UPTAC
IIT Madras - Indian Institute of Technology Campus 138,Mumbai,4.43 L,3.5,16,Govt,JEE Main
NIT Surathkal Campus 139,Delhi,2.17 L,4.2,18,Govt,KCET
IIT Madras - Indian Institute of Technology Campus 140,Nagpur,16.31 L,3.4,26,Govt,KCET
VIT Vellore Campus 141,Pune,6.13 L,3.5,27,Pvt,"JEE Main, JEE Advanced"
IIT Delhi - Indian Institute of Technology Campus 142,Coimbatore,10.22 L,4.7,5,Govt,VITEEE
IIT Delhi - Indian Institute of Technology Campus 143,Nagpur,17.69 L,4,26,Govt,"JEE Main, JEE Advanced"
NIT Surathkal Campus 144,Indore,2.35 L,3.6,15,Govt,JEE Main
NIT Surathkal Campus 145,Kolkata,8.8 L,3.5,23,Govt,"JEE Main, JEE Advanced"
NIT Trichy Campus 146,Indore,3.81 L,4.1,9,Govt,KCET
NIT Surathkal Campus 147,Delhi,17.88 L,3.7,35,Govt,VITEEE
IIT Delhi - Indian Institute of Technology Campus 148,Delhi,21.65 L,4.7,6,Govt,"JEE Main, JEE Advanced"
VIT Vellore Campus 149,Kolkata,7.24 L,4.1,6,Pvt,VITEEE
IIIT Hyderabad Campus 150,Chennai,15.07 L,4.5,39,Pvt,MHT CET
VIT Vellore Campus 151,Bengaluru,0.96 L,4.6,24,Pvt,KCET
IIT Bombay - Indian Institute of Technology Campus 152,Hyderabad,13.3 L,4.1,23,Govt,"JEE Main, JEE Advanced"
NIT Surathkal Campus 153,Delhi,12.01 L,3.1,40,Govt,BITSAT
IIT Bombay - Indian Institute of Technology Campus 154,Mumbai,4.89 L,4.1,16,Govt,VITEEE
BITS Pilani - Birla Institute of Technology Campus 155,Kolkata,17.66 L,3.7,26,Pvt,KCET
VIT Vellore Campus 156,Pune,18.78 L,3,24,Pvt,UPTAC
VIT Vellore Campus 157,Hyderabad,18.66 L,4.6,14,Pvt,UPTAC
NIT Trichy Campus 158,Nagpur,5.66 L,4.3,9,Govt,JEE Main
IIT Madras - Indian Institute of Technology Campus 159,Chennai,3.02 L,3.9,8,Govt,MHT CET
NIT Surathkal Campus 160,Hyderabad,8.42 L,3.1,25,Govt,MHT CET
NIT Surathkal Campus 161,Bengaluru,11.27 L,4.4,21,Govt,MHT CET
IIT Madras - Indian Institute of Technology Campus 162,Indore,1.47 L,4.5,9,Govt,BITSAT
IIIT Hyderabad Campus 163,Kolkata,13.51 L,3.1,27,Pvt,MHT CET
IIT Delhi - Indian Institute of Technology Campus 164,Pune,17.51 L,3.9,19,Govt,BITSAT
BITS Pilani - Birla Institute of Technology Campus 165,Pune,1.32 L,4.2,14,Pvt,MHT CET
VIT Vellore Campus 166,Bengaluru,9.86 L,3.1,39,Pvt,UPTAC
NIT Surathkal Campus 167,Indore,9.34 L,3.4,27,Govt,JEE Main
IIT Madras - Indian Institute of Technology Campus 168,Mumbai,7.02 L,4.7,30,Govt,MHT CET
IIIT Hyderabad Campus 169,Kolkata,7.0 L,3.1,13,Pvt,JEE Main
NIT Surathkal Campus 170,Chennai,20.85 L,4,26,Govt,UPTAC
IIT Delhi - Indian Institute of Technology Campus 171,Indore,13.05 L,4.7,30,Govt,"JEE Main, JEE Advanced"
BITS Pilani - Birla Institute of Technology Campus 172,Nagpur,3.21 L,3.6,33,Pvt,JEE Main
IIT Bombay - Indian Institute of Technology Campus 173,Pune,17.22 L,3.8,37,Govt,JEE Main
IIT Delhi - Indian Institute of Technology Campus 174,Coimbatore,16.64 L,4.5,27,Govt,"JEE Main, JEE Advanced"
IIIT Hyderabad Campus 175,Chennai,11.6 L,3.6,7,Pvt,UPTAC
IIT Madras - Indian Institute of Technology Campus 176,Indore,8.22 L,4.1,36,Govt,BITSAT
VIT Vellore Campus 177,Mumbai,1.73 L,3.1,10,Pvt,JEE Main
NIT Trichy Campus 178,Bengaluru,3.87 L,3.4,31,Govt,MHT CET
IIT Bombay - Indian Institute of Technology Campus 179,Kolkata,9.46 L,3.2,6,Govt,"JEE Main, JEE Advanced"
VIT Vellore Campus 180,Delhi,7.02 L,3.8,15,Pvt,JEE Main
IIIT Hyderabad Campus 181,Hyderabad,2.73 L,3.3,24,Pvt,KCET
IIIT Hyderabad Campus 182,Delhi,18.43 L,4.2,18,Pvt,VITEEE
VIT Vellore Campus 183,Hyderabad,13.89 L,4.4,32,Pvt,"JEE Main, JEE Advanced"
NIT Surathkal Campus 184,Pune,13.92 L,3.1,10,Govt,KCET
IIT Bombay - Indian Institute of Technology Campus 185,Hyderabad,14.46 L,3.4,35,Govt,VITEEE
BITS Pilani - Birla Institute of Technology Campus 186,Kolkata,14.35 L,3.6,14,Pvt,"JEE Main, JEE Advanced"
IIT Bombay - Indian Institute of Technology Campus 187,Chennai,8.65 L,3.8,19,Govt,BITSAT
NIT Surathkal Campus 188,Kolkata,14.47 L,3,32,Govt,VITEEE
VIT Vellore Campus 189,Indore,15.26 L,4.1,25,Pvt,KCET
VIT Vellore Campus 190,Hyderabad,11.13 L,4,6,Pvt,MHT CET
IIT Bombay - Indian Institute of Technology Campus 191,Nagpur,7.74 L,4.5,21,Govt,"JEE Main, JEE Advanced"
IIT Madras - Indian Institute of Technology Campus 192,Chennai,8.23 L,3.4,29,Govt,VITEEE
IIT Bombay - Indian Institute of Technology Campus 193,Bengaluru,12.54 L,4.7,5,Govt,"JEE Main, JEE Advanced"
IIT Madras - Indian Institute of Technology Campus 194,Kolkata,8.78 L,4.4,18,Govt,VITEEE
NIT Trichy Campus 195,Pune,6.64 L,3,11,Govt,JEE Main
BITS Pilani - Birla Institute of Technology Campus 196,Coimbatore,16.33 L,4,21,Pvt,JEE Main
IIT Delhi - Indian Institute of Technology Campus 197,Coimbatore,18.41 L,4.4,14,Govt,BITSAT
BITS Pilani - Birla Institute of Technology Campus 198,Coimbatore,4.38 L,4.1,23,Pvt,MHT CET
NIT Surathkal Campus 199,Kolkata,9.43 L,4.2,19,Govt,VITEEE
IIT Madras - Indian Institute of Technology Campus 200,Kolkata,11.95 L,4.4,10,Govt,JEE Main
NIT Trichy Campus 201,Bengaluru,1.26 L,4.4,13,Govt,KCET
NIT Trichy Campus 202,Nagpur,21.08 L,4.6,32,Govt,JEE Main
NIT Surathkal Campus 203,Kolkata,7.04 L,3.6,24,Govt,VITEEE
IIIT Hyderabad Campus 204,Indore,14.98 L,3.6,36,Pvt,KCET
NIT Surathkal Campus 205,Delhi,11.15 L,4.2,20,Govt,JEE Main
BITS Pilani - Birla Institute of Technology Campus 206,Indore,1.62 L,3.1,36,Pvt,"JEE Main, JEE Advanced"
IIT Madras - Indian Institute of Technology Campus 207,Delhi,8.56 L,4.8,27,Govt,JEE Main
NIT Trichy Campus 208,Indore,6.55 L,4.5,8,Govt,MHT CET
IIT Bombay - Indian Institute of Technology Campus 209,Pune,17.04 L,4.1,36,Govt,UPTAC
BITS Pilani - Birla Institute of Technology Campus 210,Kolkata,1.39 L,4.2,28,Pvt,BITSAT
NIT Trichy Campus 211,Indore,4.31 L,3.4,14,Govt,KCET
IIT Madras - Indian Institute of Technology Campus 212,Delhi,9.02 L,4.8,39,Govt,BITSAT
IIT Delhi - Indian Institute of Technology Campus 213,Nagpur,11.74 L,4.6,38,Govt,JEE Main
NIT Trichy Campus 214,Hyderabad,19.23 L,4,13,Govt,BITSAT
VIT Vellore Campus 215,Coimbatore,5.37 L,3.3,7,Pvt,KCET
NIT Trichy Campus 216,Mumbai,2.12 L,4.7,20,Govt,UPTAC
IIT Madras - Indian Institute of Technology Campus 217,Mumbai,19.11 L,4.5,10,Govt,JEE Main
BITS Pilani - Birla Institute of Technology Campus 218,Indore,21.76 L,4.3,9,Pvt,UPTAC
VIT Vellore Campus 219,Delhi,14.09 L,3.7,34,Pvt,UPTAC
VIT Vellore Campus 220,Kolkata,13.18 L,4.8,36,Pvt,JEE Main
VIT Vellore Campus 221,Coimbatore,5.36 L,4.3,7,Pvt,VITEEE
