clg_name,location,fee,ratings,courses,clg_type,entrance_exam
IIT Madras - Indian Institute of Technology Campus 438,Bengaluru,11.02 L,4.2,16,Govt,MHT CET
IIT Madras - Indian Institute of Technology Campus 439,Pune,7.73 L,4,8,Govt,"JEE Main, JEE Advanced"
IIT Madras - Indian Institute of Technology Campus 440,Indore,19.92 L,3.8,23,Govt,BITSAT
NIT Trichy Campus 441,Pune,15.15 L,3.6,27,Govt,"JEE Main, JEE Advanced"
NIT Trichy Campus 442,Kolkata,20.44 L,4,40,Govt,VITEEE
IIT Delhi - Indian Institute of Technology Campus 443,Coimbatore,21.36 L,4.6,20,Govt,"JEE Main, JEE Advanced"
NIT Trichy Campus 444,Hyderabad,6.91 L,3.6,20,Govt,KCET
IIT Bombay - Indian Institute of Technology Campus 445,Mumbai,17.17 L,3.7,12,Govt,BITSAT
NIT Surathkal Campus 446,Bengaluru,14.35 L,4.1,28,Govt,JEE Main
BITS Pilani - Birla Institute of Technology Campus 447,Indore,5.39 L,4.2,5,Pvt,"JEE Main, JEE Advanced"
NIT Surathkal Campus 448,Bengaluru,18.07 L,4.4,30,Govt,MHT CET
NIT Surathkal Campus 449,Mumbai,9.24 L,3.3,9,Govt,VITEEE
NIT Trichy Campus 450,Chennai,14.57 L,4.4,29,Govt,UPTAC
IIT Madras - Indian Institute of Technology Campus 451,Nagpur,3.0 L,3.8,18,Govt,VITEEE
IIT Bombay - Indian Institute of Technology Campus 452,Chennai,6.89 L,4.4,12,Govt,VITEEE
IIIT Hyderabad Campus 453,Mumbai,9.85 L,3.1,17,Pvt,BITSAT
IIT Madras - Indian Institute of Technology Campus 454,Chennai,16.59 L,3.1,38,Govt,VITEEE
IIT Delhi - Indian Institute of Technology Campus 455,Coimbatore,20.16 L,3.5,14,Govt,JEE Main
VIT Vellore Campus 456,Mumbai,18.24 L,3.3,38,Pvt,BITSAT
BITS Pilani - Birla Institute of Technology Campus 457,Bengaluru,5.39 L,3.2,20,Pvt,BITSAT
NIT Surathkal Campus 458,Bengaluru,17.32 L,3.4,25,Govt,BITSAT
VIT Vellore Campus 459,Nagpur,20.99 L,3.5,40,Pvt,UPTAC
NIT Trichy Campus 460,Indore,6.16 L,3.8,37,Govt,JEE Main
IIT Delhi - Indian Institute of Technology Campus 461,Chennai,19.36 L,4.7,19,Govt,"JEE Main, JEE Advanced"
BITS Pilani - Birla Institute of Technology Campus 462,Hyderabad,19.83 L,3.3,26,Pvt,MHT CET
IIT Madras - Indian Institute of Technology Campus 463,Mumbai,17.72 L,3.3,12,Govt,UPTAC
IIT Delhi - Indian Institute of Technology Campus 464,Hyderabad,14.0 L,3,35,Govt,UPTAC
IIT Madras - Indian Institute of Technology Campus 465,Delhi,15.97 L,3.7,34,Govt,BITSAT
VIT Vellore Campus 466,Bengaluru,4.37 L,3,31,Pvt,VITEEE
NIT Trichy Campus 467,Nagpur,21.33 L,4.5,35,Govt,UPTAC
IIIT Hyderabad Campus 468,Pune,4.21 L,3.4,40,Pvt,BITSAT
IIT Bombay - Indian Institute of Technology Campus 469,Nagpur,13.11 L,4.6,25,Govt,KCET
BITS Pilani - Birla Institute of Technology Campus 470,Hyderabad,6.43 L,4.1,16,Pvt,UPTAC
NIT Trichy Campus 471,Delhi,10.51 L,3.7,10,Govt,VITEEE
IIT Madras - Indian Institute of Technology Campus 472,Kolkata,6.71 L,4.7,16,Govt,UPTAC
NIT Surathkal Campus 473,Delhi,1.09 L,4.2,33,Govt,UPTAC
IIT Madras - Indian Institute of Technology Campus 474,Pune,9.54 L,3.2,12,Govt,MHT CET
IIIT Hyderabad Campus 475,Hyderabad,6.99 L,4.3,25,Pvt,BITSAT
IIIT Hyderabad Campus 476,Bengaluru,20.41 L,3.2,33,Pvt,JEE Main
VIT Vellore Campus 477,Nagpur,17.56 L,3.2,14,Pvt,VITEEE
BITS Pilani - Birla Institute of Technology Campus 478,Hyderabad,15.44 L,4.2,15,Pvt,MHT CET
IIT Delhi - Indian Institute of Technology Campus 479,Mumbai,12.73 L,3.8,17,Govt,JEE Main
IIIT Hyderabad Campus 480,Kolkata,2.51 L,3.5,13,Pvt,"JEE Main, JEE Advanced"
VIT Vellore Campus 481,Hyderabad,6.66 L,3.7,6,Pvt,BITSAT
IIT Madras - Indian Institute of Technology Campus 482,Nagpur,11.4 L,4.5,6,Govt,"JEE Main, JEE Advanced"
IIT Delhi - Indian Institute of Technology Campus 483,Kolkata,6.96 L,4.6,18,Govt,UPTAC
IIT Madras - Indian Institute of Technology Campus 484,Indore,13.42 L,4.1,12,Govt,BITSAT
IIIT Hyderabad Campus 485,Kolkata,13.89 L,4.2,40,Pvt,BITSAT
BITS Pilani - Birla Institute of Technology Campus 486,Pune,16.61 L,4.5,15,Pvt,BITSAT
IIT Delhi - Indian Institute of Technology Campus 487,Kolkata,18.7 L,3.3,25,Govt,JEE Main
IIIT Hyderabad Campus 488,Mumbai,2.26 L,4,30,Pvt,UPTAC
NIT Surathkal Campus 489,Hyderabad,16.86 L,3.3,14,Govt,KCET
VIT Vellore Campus 490,Mumbai,6.36 L,4.3,5,Pvt,UPTAC
NIT Surathkal Campus 491,Pune,19.88 L,4.8,30,Govt,VITEEE
VIT Vellore Campus 492,Indore,2.84 L,4.7,7,Pvt,BITSAT
NIT Trichy Campus 493,Bengaluru,20.51 L,3.9,29,Govt,VITEEE
IIIT Hyderabad Campus 494,Delhi,12.32 L,4.1,17,Pvt,BITSAT
IIIT Hyderabad Campus 495,Delhi,4.24 L,3.6,7,Pvt,BITSAT
IIIT Hyderabad Campus 496,Coimbatore,3.07 L,4.4,16,Pvt,BITSAT
IIT Bombay - Indian Institute of Technology Campus 497,Pune,1.04 L,3.7,13,Govt,"JEE Main, JEE Advanced"
VIT Vellore Campus 498,Indore,17.97 L,4.8,30,Pvt,BITSAT
NIT Surathkal Campus 499,Mumbai,21.86 L,4,18,Govt,KCET
VIT Vellore Campus 500,Delhi,18.59 L,3.8,27,Pvt,"JEE Main, JEE Advanced"
VIT Vellore Campus 501,Pune,5.16 L,3,38,Pvt,JEE Main
NIT Trichy Campus 502,Indore,9.55 L,3.2,38,Govt,KCET
NIT Trichy Campus 503,Delhi,9.78 L,3.7,17,Govt,MHT CET
NIT Trichy Campus 504,Nagpur,9.62 L,3.4,20,Govt,VITEEE
BITS Pilani - Birla Institute of Technology Campus 505,Nagpur,13.71 L,4.1,37,Pvt,BITSAT
BITS Pilani - Birla Institute of Technology Campus 506,Hyderabad,16.07 L,3.8,13,Pvt,KCET
VIT Vellore Campus 507,Delhi,15.24 L,3.6,21,Pvt,BITSAT
VIT Vellore Campus 508,Hyderabad,10.99 L,3.6,37,Pvt,"JEE Main, JEE Advanced"
VIT Vellore Campus 509,Mumbai,9.19 L,4.3,15,Pvt,JEE Main
VIT Vellore Campus 510,Coimbatore,7.06 L,3.9,25,Pvt,BITSAT
IIIT Hyderabad Campus 511,Indore,5.67 L,3.5,39,Pvt,VITEEE
IIT Bombay - Indian Institute of Technology Campus 512,Pune,14.59 L,3.1,6,Govt,JEE Main
NIT Surathkal Campus 513,Chennai,3.41 L,3.2,6,Govt,JEE Main
IIIT Hyderabad Campus 514,Chennai,16.5 L,3.5,8,Pvt,VITEEE
NIT Trichy Campus 515,Bengaluru,19.96 L,4.4,32,Govt,JEE Main
BITS Pilani - Birla Institute of Technology Campus 516,Indore,5.82 L,4.1,16,Pvt,MHT CET
IIT Madras - Indian Institute of Technology Campus 517,Kolkata,15.42 L,4.2,38,Govt,KCET
NIT Trichy Campus 518,Pune,7.57 L,4.2,16,Govt,MHT CET
BITS Pilani - Birla Institute of Technology Campus 519,Mumbai,21.76 L,3,17,Pvt,VITEEE
BITS Pilani - Birla Institute of Technology Campus 520,Nagpur,5.67 L,4.6,23,Pvt,MHT CET
IIIT Hyderabad Campus 521,Chennai,3.73 L,3.5,10,Pvt,"JEE Main, JEE Advanced"
NIT Trichy Campus 522,Pune,20.73 L,3.4,19,Govt,BITSAT
IIIT Hyderabad Campus 523,Indore,3.25 L,4.1,28,Pvt,JEE Main
IIT Bombay - Indian Institute of Technology Campus 524,Coimbatore,20.59 L,3.5,27,Govt,JEE Main
IIT Delhi - Indian Institute of Technology Campus 525,Pune,7.7 L,3.4,25,Govt,VITEEE
IIT Madras - Indian Institute of Technology Campus 526,Hyderabad,11.09 L,4.7,5,Govt,VITEEE
BITS Pilani - Birla Institute of Technology Campus 527,Nagpur,5.62 L,4.3,24,Pvt,MHT CET
NIT Surathkal Campus 528,Kolkata,3.85 L,4.8,27,Govt,JEE Main
IIT Delhi - Indian Institute of Technology Campus 529,Delhi,2.24 L,3.8,30,Govt,UPTAC
VIT Vellore Campus 530,Mumbai,21.15 L,4,12,Pvt,KCET
IIT Bombay - Indian Institute of Technology Campus 531,Bengaluru,3.06 L,3.8,14,Govt,BITSAT
IIT Bombay - Indian Institute of Technology Campus 532,Mumbai,2.45 L,4.2,13,Govt,UPTAC
IIT Delhi - Indian Institute of Technology Campus 533,Bengaluru,8.98 L,3.2,40,Govt,KCET
BITS Pilani - Birla Institute of Technology Campus 534,Chennai,12.2 L,3.7,19,Pvt,BITSAT
NIT Surathkal Campus 535,Kolkata,10.14 L,4.1,10,Govt,BITSAT
IIT Madras - Indian Institute of Technology Campus 536,Hyderabad,2.62 L,4.1,28,Govt,KCET
NIT Surathkal Campus 537,Coimbatore,9.4 L,4,33,Govt,BITSAT
IIT Delhi - Indian Institute of Technology Campus 538,Kolkata,6.52 L,4.6,7,Govt,BITSAT
IIT Madras - Indian Institute of Technology Campus 539,Hyderabad,7.89 L,4,21,Govt,"JEE Main, JEE Advanced"
IIT Bombay - Indian Institute of Technology Campus 540,Indore,20.97 L,4.7,30,Govt,"JEE Main, JEE Advanced"
BITS Pilani - Birla Institute of Technology Campus 541,Hyderabad,19.2 L,4.6,17,Pvt,MHT CET
NIT Trichy Campus 542,Hyderabad,13.01 L,3.2,19,Govt,BITSAT
VIT Vellore Campus 543,Chennai,17.56 L,3.9,11,Pvt,BITSAT
NIT Surathkal Campus 544,Kolkata,18.22 L,4.7,23,Govt,BITSAT
NIT Surathkal Campus 545,Nagpur,13.25 L,4.3,30,Govt,MHT CET
NIT Trichy Campus 546,Coimbatore,4.99 L,3.9,14,Govt,BITSAT
IIT Madras - Indian Institute of Technology Campus 547,Bengaluru,12.22 L,3.4,27,Govt,VITEEE
NIT Trichy Campus 548,Coimbatore,20.85 L,3.3,37,Govt,BITSAT
IIT Bombay - Indian Institute of Technology Campus 549,Chennai,16.76 L,3.8,20,Govt,BITSAT
IIT Madras - Indian Institute of Technology Campus 550,Delhi,2.09 L,3,33,Govt,VITEEE
IIIT Hyderabad Campus 551,Delhi,14.07 L,3,33,Pvt,BITSAT
NIT Trichy Campus 552,Hyderabad,14.51 L,3.1,24,Govt,KCET
IIT Madras - Indian Institute of Technology Campus 553,Indore,15.62 L,4.5,28,Govt,KCET
BITS Pilani - Birla Institute of Technology Campus 554,Delhi,2.25 L,3.2,33,Pvt,JEE Main
IIIT Hyderabad Campus 555,Kolkata,16.77 L,3.2,34,Pvt,UPTAC
IIT Madras - Indian Institute of Technology Campus 556,Kolkata,19.44 L,3.4,5,Govt,BITSAT
VIT Vellore Campus 557,Hyderabad,5.61 L,3.5,11,Pvt,VITEEE
IIT Madras - Indian Institute of Technology Campus 558,Indore,20.47 L,3.5,24,Govt,KCET
NIT Surathkal Campus 559,Coimbatore,15.03 L,4.8,15,Govt,KCET
NIT Surathkal Campus 560,Coimbatore,15.99 L,3,19,Govt,UPTAC
IIT Delhi - Indian Institute of Technology Campus 561,Indore,10.83 L,3.9,6,Govt,BITSAT
IIT Bombay - Indian Institute of Technology Campus 562,Pune,12.0 L,3.2,33,Govt,UPTAC
IIT Bombay - Indian Institute of Technology Campus 563,Bengaluru,11.13 L,3,18,Govt,"JEE Main, JEE Advanced"
IIT Bombay - Indian Institute of Technology Campus 564,Nagpur,17.53 L,4,31,Govt,VITEEE
IIT Delhi - Indian Institute of Technology Campus 565,Mumbai,21.0 L,4.7,24,Govt,MHT CET
BITS Pilani - Birla Institute of Technology Campus 566,Kolkata,5.33 L,4.2,40,Pvt,BITSAT
IIT Delhi - Indian Institute of Technology Campus 567,Mumbai,9.1 L,4.4,24,Govt,KCET
IIT Madras - Indian Institute of Technology Campus 568,Delhi,7.47 L,4.3,19,Govt,JEE Main
BITS Pilani - Birla Institute of Technology Campus 569,Mumbai,5.66 L,4,14,Pvt,UPTAC
NIT Trichy Campus 570,Nagpur,20.03 L,4.4,21,Govt,VITEEE
BITS Pilani - Birla Institute of Technology Campus 571,Chennai,16.69 L,3.2,31,Pvt,KCET
NIT Trichy Campus 572,Indore,11.43 L,3.2,8,Govt,UPTAC
BITS Pilani - Birla Institute of Technology Campus 573,Kolkata,6.08 L,3.3,24,Pvt,JEE Main
IIIT Hyderabad Campus 574,Mumbai,16.31 L,3.6,13,Pvt,"JEE Main, JEE Advanced"
IIIT Hyderabad Campus 575,Delhi,8.5 L,3.4,32,Pvt,VITEEE
NIT Surathkal Campus 576,Hyderabad,16.52 L,4.8,9,Govt,MHT CET
IIT Bombay - Indian Institute of Technology Campus 577,Kolkata,21.98 L,3.5,23,Govt,JEE Main
NIT Surathkal Campus 578,Coimbatore,20.64 L,3.6,22,Govt,KCET
IIT Bombay - Indian Institute of Technology Campus 579,Bengaluru,2.31 L,3.5,39,Govt,BITSAT
NIT Surathkal Campus 580,Pune,17.95 L,3.8,12,Govt,JEE Main
IIT Bombay - Indian Institute of Technology Campus 581,Indore,10.98 L,3.5,9,Govt,JEE Main
BITS Pilani - Birla Institute of Technology Campus 582,Indore,18.95 L,4.2,29,Pvt,BITSAT
NIT Trichy Campus 583,Kolkata,6.99 L,3.4,7,Govt,KCET
IIT Delhi - Indian Institute of Technology Campus 584,Coimbatore,2.75 L,4.2,40,Govt,JEE Main
IIT Madras - Indian Institute of Technology Campus 585,Bengaluru,3.66 L,4.8,11,Govt,JEE Main
NIT Surathkal Campus 586,Coimbatore,10.68 L,4,31,Govt,KCET
BITS Pilani - Birla Institute of Technology Campus 587,Indore,15.78 L,4.8,19,Pvt,KCET
IIT Madras - Indian Institute of Technology Campus 588,Bengaluru,10.08 L,4.6,25,Govt,VITEEE
NIT Surathkal Campus 589,Delhi,17.11 L,3.3,30,Govt,"JEE Main, JEE Advanced"
IIT Delhi - Indian Institute of Technology Campus 590,Hyderabad,3.43 L,4.3,17,Govt,"JEE Main, JEE Advanced"
BITS Pilani - Birla Institute of Technology Campus 591,Bengaluru,6.34 L,3.6,34,Pvt,MHT CET
IIIT Hyderabad Campus 592,Pune,21.59 L,3.5,37,Pvt,"JEE Main, JEE Advanced"
NIT Surathkal Campus 593,Hyderabad,9.17 L,3.8,8,Govt,KCET
IIT Bombay - Indian Institute of Technology Campus 594,Coimbatore,15.89 L,3.4,5,Govt,UPTAC
NIT Trichy Campus 595,Indore,6.76 L,4.1,5,Govt,KCET
IIT Madras - Indian Institute of Technology Campus 596,Pune,6.09 L,4.6,19,Govt,MHT CET
IIT Bombay - Indian Institute of Technology Campus 597,Delhi,12.17 L,3.5,38,Govt,KCET
VIT Vellore Campus 598,Chennai,18.53 L,4.3,24,Pvt,VITEEE
IIT Bombay - Indian Institute of Technology Campus 599,Hyderabad,8.38 L,4.8,31,Govt,VITEEE
IIT Madras - Indian Institute of Technology Campus 600,Hyderabad,20.34 L,3.2,22,Govt,UPTAC
NIT Surathkal Campus 601,Coimbatore,7.22 L,3.4,17,Govt,UPTAC
NIT Trichy Campus 602,Kolkata,5.09 L,4.5,7,Govt,"JEE Main, JEE Advanced"
IIT Madras - Indian Institute of Technology Campus 603,Mumbai,9.44 L,4.7,15,Govt,"JEE Main, JEE Advanced"
BITS Pilani - Birla Institute of Technology Campus 604,Chennai,15.15 L,3.4,29,Pvt,KCET
IIT Delhi - Indian Institute of Technology Campus 605,Hyderabad,5.17 L,4.6,28,Govt,VITEEE
BITS Pilani - Birla Institute of Technology Campus 606,Hyderabad,19.77 L,3.2,34,Pvt,MHT CET
IIT Delhi - Indian Institute of Technology Campus 607,Nagpur,2.59 L,3.3,30,Govt,"JEE Main, JEE Advanced"
NIT Surathkal Campus 608,Hyderabad,19.34 L,3.3,12,Govt,VITEEE
NIT Surathkal Campus 609,Chennai,18.99 L,4.3,24,Govt,MHT CET
BITS Pilani - Birla Institute of Technology Campus 610,Kolkata,16.2 L,4.4,39,Pvt,VITEEE
VIT Vellore Campus 611,Bengaluru,11.98 L,3.1,20,Pvt,JEE Main
IIT Bombay - Indian Institute of Technology Campus 612,Kolkata,9.52 L,3.8,9,Govt,MHT CET
IIT Madras - Indian Institute of Technology Campus 613,Nagpur,4.57 L,4,35,Govt,KCET
VIT Vellore Campus 614,Bengaluru,1.26 L,4.1,29,Pvt,UPTAC
IIT Madras - Indian Institute of Technology Campus 615,Delhi,16.84 L,3.2,37,Govt,JEE Main
IIT Delhi - Indian Institute of Technology Campus 616,Kolkata,9.8 L,4.6,34,Govt,"JEE Main, JEE Advanced"
BITS Pilani - Birla Institute of Technology Campus 617,Mumbai,1.92 L,3.1,26,Pvt,MHT CET
VIT Vellore Campus 618,Hyderabad,2.89 L,3.8,16,Pvt,KCET
IIT Delhi - Indian Institute of Technology Campus 619,Indore,10.62 L,4.1,30,Govt,VITEEE
IIIT Hyderabad Campus 620,Pune,4.45 L,4,37,Pvt,BITSAT
IIT Bombay - Indian Institute of Technology Campus 621,Bengaluru,5.12 L,4.4,27,Govt,VITEEE
IIT Delhi - Indian Institute of Technology Campus 622,Delhi,11.89 L,4.8,36,Govt,MHT CET
IIT Bombay - Indian Institute of Technology Campus 623,Chennai,1.03 L,4.3,26,Govt,JEE Main
IIT Bombay - Indian Institute of Technology Campus 624,Coimbatore,4.95 L,3.3,37,Govt,MHT CET
VIT Vellore Campus 625,Coimbatore,13.98 L,3.2,31,Pvt,"JEE Main, JEE Advanced"
NIT Trichy Campus 626,Hyderabad,18.33 L,3.7,33,Govt,UPTAC
NIT Trichy Campus 627,Hyderabad,19.5 L,3.7,25,Govt,BITSAT
IIIT Hyderabad Campus 628,Coimbatore,0.83 L,4.5,6,Pvt,BITSAT
IIT Bombay - Indian Institute of Technology Campus 629,Chennai,8.98 L,4.6,10,Govt,"JEE Main, JEE Advanced"
NIT Trichy Campus 630,Delhi,2.31 L,4.2,21,Govt,UPTAC
IIT Bombay - Indian Institute of Technology Campus 631,Delhi,14.51 L,3.9,6,Govt,VITEEE
VIT Vellore Campus 632,Kolkata,20.32 L,3.4,36,Pvt,JEE Main
VIT Vellore Campus 633,Chennai,14.79 L,3,5,Pvt,JEE Main
BITS Pilani - Birla Institute of Technology Campus 634,Delhi,20.45 L,4.1,6,Pvt,VITEEE
BITS Pilani - Birla Institute of Technology Campus 635,Kolkata,8.06 L,3.3,29,Pvt,JEE Main
NIT Surathkal Campus 636,Delhi,15.77 L,4.3,16,Govt,JEE Main
VIT Vellore Campus 637,Pune,7.78 L,3.8,19,Pvt,"JEE Main, JEE Advanced"
BITS Pilani - Birla Institute of Technology Campus 638,Mumbai,4.62 L,3.2,24,Pvt,KCET
NIT Trichy Campus 639,Mumbai,12.22 L,4.6,36,Govt,KCET
NIT Trichy Campus 640,Mumbai,2.01 L,3.3,21,Govt,KCET
IIT Bombay - Indian Institute of Technology Campus 641,Indore,2.8 L,4,11,Govt,UPTAC
NIT Trichy Campus 642,Coimbatore,7.84 L,3.2,24,Govt,"JEE Main, JEE Advanced"
VIT Vellore Campus 643,Mumbai,10.39 L,4.5,17,Pvt,"JEE Main, JEE Advanced"
NIT Surathkal Campus 644,Mumbai,19.61 L,3.8,21,Govt,BITSAT
VIT Vellore Campus 645,Kolkata,18.24 L,3.4,7,Pvt,MHT CET
NIT Trichy Campus 646,Nagpur,7.07 L,3.1,29,Govt,KCET
VIT Vellore Campus 647,Hyderabad,17.17 L,4.2,10,Pvt,JEE Main
IIT Bombay - Indian Institute of Technology Campus 648,Nagpur,10.46 L,3.9,21,Govt,"JEE Main, JEE Advanced"
IIT Bombay - Indian Institute of Technology Campus 649,Coimbatore,17.32 L,4.4,27,Govt,VITEEE
NIT Trichy Campus 650,Chennai,6.78 L,4.6,12,Govt,KCET
NIT Trichy Campus 651,Hyderabad,1.78 L,3,31,Govt,VITEEE
IIT Madras - Indian Institute of Technology Campus 652,Pune,11.02 L,4.1,8,Govt,UPTAC
IIT Madras - Indian Institute of Technology Campus 653,Bengaluru,17.07 L,4.3,7,Govt,MHT CET
IIIT Hyderabad Campus 654,Delhi,13.37 L,3.1,22,Pvt,JEE Main
IIT Delhi - Indian Institute of Technology Campus 655,Coimbatore,17.1 L,3.3,26,Govt,BITSAT
NIT Trichy Campus 656,Delhi,13.22 L,4.4,22,Govt,UPTAC
VIT Vellore Campus 657,Bengaluru,12.12 L,4.4,23,Pvt,MHT CET